iter	Logloss
0	0.6019359935
1	0.5205703215
2	0.4468075145
3	0.3976819298
4	0.3466251113
5	0.3113633503
6	0.282385566
7	0.2442231829
8	0.2150029269
9	0.1886117675
10	0.1687975472
11	0.1523388516
12	0.1381828893
13	0.1247433532
14	0.1140141921
15	0.1075303771
16	0.09755056555
17	0.0888720805
18	0.0817500678
19	0.07575367256
20	0.07233868946
21	0.06708225879
22	0.06212064353
23	0.05760793252
24	0.05445067991
25	0.05142377723
26	0.04901022261
27	0.04584418644
28	0.04403342713
29	0.04206642238
30	0.04020870274
31	0.03800828349
32	0.03641670942
33	0.03453072635
34	0.03273902698
35	0.03136476062
36	0.02993442795
37	0.02899228443
38	0.02817610719
39	0.02658558976
40	0.02548480034
41	0.02455661243
42	0.0235330625
43	0.02245982533
44	0.02183704891
45	0.02099099349
46	0.02034390515
47	0.01988583126
48	0.01919261163
49	0.01865073632
50	0.01801127737
51	0.01730173284
52	0.01694212583
53	0.01653862812
54	0.01615744287
55	0.01555919376
56	0.01499076594
57	0.01430870999
58	0.01398958401
59	0.01373438944
60	0.01340593127
61	0.01310828464
62	0.01269346882
63	0.01241246679
64	0.01204278252
65	0.01178967817
66	0.0115608722
67	0.01129227606
68	0.01106706329
69	0.01078983329
70	0.01052921333
71	0.01017325168
72	0.009974970736
73	0.009829576043
74	0.009650531818
75	0.009476622397
76	0.009275817058
77	0.009080131623
78	0.008918433704
79	0.008798675104
80	0.008662643758
81	0.008539068428
82	0.008393393999
83	0.008258513429
84	0.008223794401
85	0.008116856217
86	0.008002038706
87	0.007959216833
88	0.007836917585
89	0.00773143091
90	0.007601240142
91	0.007420322434
92	0.007311083376
93	0.007239891724
94	0.007153180513
95	0.007043045353
96	0.0069562129
97	0.006821600551
98	0.006729465994
99	0.006638100879
100	0.006565371698
101	0.006489015438
102	0.006407218223
103	0.006309250539
104	0.006227076054
105	0.006168454208
106	0.006075281311
107	0.006006711586
108	0.005966706709
109	0.005864723162
110	0.005779376761
111	0.005726043474
112	0.005605458197
113	0.005532987416
114	0.005459618839
115	0.005417020822
116	0.005370833996
117	0.005314226855
118	0.005272573029
119	0.005219209601
120	0.005177409473
121	0.00513875349
122	0.005091218447
123	0.005040200258
124	0.004994904453
125	0.004935934801
126	0.004889397797
127	0.004850548099
128	0.004806797274
129	0.004754512825
130	0.004715869373
131	0.004680256613
132	0.004622455348
133	0.004582311958
134	0.004548092796
135	0.004513162781
136	0.004474528811
137	0.004436549477
138	0.004404154691
139	0.004376911643
140	0.00434606861
141	0.004304959693
142	0.004263030873
143	0.004225729203
144	0.004189554941
145	0.004155503078
146	0.004124151712
147	0.004093565047
148	0.004067250951
149	0.004044792192
150	0.00401035764
151	0.003980363973
152	0.003947899423
153	0.00392145528
154	0.003889405931
155	0.003868583251
156	0.003844736652
157	0.003809431737
158	0.003783886744
159	0.003766018559
160	0.003731181676
161	0.003707380457
162	0.003683052957
163	0.00365798514
164	0.003627528521
165	0.003603041849
166	0.003577214412
167	0.003558165309
168	0.003540511497
169	0.003520366143
170	0.003494851969
171	0.003477199511
172	0.003451859409
173	0.003430836241
174	0.003403369676
175	0.003384641626
176	0.00336232375
177	0.003343100914
178	0.003317679194
179	0.003298472274
180	0.003282036971
181	0.003261101517
182	0.003240057691
183	0.003221856938
184	0.003205436197
185	0.003188776699
186	0.003172050823
187	0.0031544302
188	0.003137502142
189	0.003118064932
190	0.003101324493
191	0.003085552291
192	0.003067081625
193	0.003050772981
194	0.00303648209
195	0.003021634776
196	0.003007508814
197	0.00299330496
198	0.002978746864
199	0.002963060682
200	0.002947922457
201	0.00293278491
202	0.002917654135
203	0.00290448862
204	0.002889998257
205	0.002876831727
206	0.002862867307
207	0.002849861979
208	0.002836010673
209	0.002823203294
210	0.002810235051
211	0.002797556533
212	0.002784920687
213	0.002771459859
214	0.002759435807
215	0.002746306868
216	0.002733265812
217	0.002721240913
218	0.002709159458
219	0.002697435631
220	0.002684932371
221	0.002672568472
222	0.002660240978
223	0.002647860822
224	0.00263575329
225	0.002624820241
226	0.002612960948
227	0.002600941468
228	0.002589137378
229	0.002578022805
230	0.002566467632
231	0.002555106682
232	0.002543728799
233	0.002532508055
234	0.002521281723
235	0.002510490573
236	0.002499089322
237	0.002488616177
238	0.002478015524
239	0.002467578785
240	0.002456819131
241	0.002446438948
242	0.002436291426
243	0.002426341684
244	0.002416293052
245	0.002406322482
246	0.002396408299
247	0.002386969938
248	0.002377442169
249	0.002368064767
250	0.002358708023
251	0.002349441532
252	0.002340189266
253	0.002330878749
254	0.002322409133
255	0.002313237976
256	0.002304162491
257	0.002295446836
258	0.00228716941
259	0.002278155563
260	0.002270184627
261	0.002261687409
262	0.002253611657
263	0.002244875512
264	0.002236327326
265	0.002228409052
266	0.002220650966
267	0.002212399956
268	0.002204948528
269	0.002196616408
270	0.00218923356
271	0.002181023529
272	0.002173497257
273	0.00216542269
274	0.002158033238
275	0.002150211314
276	0.002142915672
277	0.002135378055
278	0.002127769488
279	0.002120721747
280	0.002113563432
281	0.002105779946
282	0.002098266035
283	0.002091695809
284	0.002085131
285	0.002077803016
286	0.002071092752
287	0.002063800835
288	0.002056942406
289	0.002049919726
290	0.00204284523
291	0.002036405389
292	0.002025959336
293	0.002019028603
294	0.002012087879
295	0.002005428414
296	0.001995257017
297	0.001988437027
298	0.001982257447
299	0.001975496046
